# NEC選定IBM拡張
for i in range(0, 450):
    c_s = 0xed40 + i
    try:
        print("cp932", hex(c_s)[2:], hex(ord(bytes.fromhex(hex(c_s)[2:]).decode('cp932')))[2:],"chr", bytes.fromhex(hex(c_s)[2:]).decode('cp932'))
    except UnicodeDecodeError as e:
        print("cp932", hex(c_s)[2:], "")
---
cp932 edec 6f88 chr 澈
cp932 eded 6fb5 chr 澵
cp932 edee 6ff5 chr 濵
cp932 edef 7005 chr 瀅
cp932 edf0 7007 chr 瀇
cp932 edf1 7028 chr 瀨
cp932 edf2 7085 chr 炅
cp932 edf3 70ab chr 炫
cp932 edf4 710f chr 焏
cp932 edf5 7104 chr 焄
cp932 edf6 715c chr 煜
cp932 edf7 7146 chr 煆
cp932 edf8 7147 chr 煇
cp932 edf9 fa15 chr 凞
cp932 edfa 71c1 chr 燁
cp932 edfb 71fe chr 燾
cp932 edfc 72b1 chr 犱
cp932 edfd
cp932 edfe
cp932 edff
cp932 ee00
cp932 ee01
cp932 ee02
cp932 ee03
cp932 ee04
cp932 ee05
cp932 ee06
cp932 ee07
cp932 ee08
cp932 ee09
cp932 ee0a
cp932 ee0b
cp932 ee0c
cp932 ee0d
cp932 ee0e
cp932 ee0f
cp932 ee10
cp932 ee11
cp932 ee12
cp932 ee13
cp932 ee14
cp932 ee15
cp932 ee16
cp932 ee17
cp932 ee18
cp932 ee19
cp932 ee1a
cp932 ee1b
cp932 ee1c
cp932 ee1d
cp932 ee1e
cp932 ee1f
cp932 ee20
cp932 ee21
cp932 ee22
cp932 ee23
cp932 ee24
cp932 ee25
cp932 ee26
cp932 ee27
cp932 ee28
cp932 ee29
cp932 ee2a
cp932 ee2b
cp932 ee2c
cp932 ee2d
cp932 ee2e
cp932 ee2f
cp932 ee30
cp932 ee31
cp932 ee32
cp932 ee33
cp932 ee34
cp932 ee35
cp932 ee36
cp932 ee37
cp932 ee38
cp932 ee39
cp932 ee3a
cp932 ee3b
cp932 ee3c
cp932 ee3d
cp932 ee3e
cp932 ee3f
cp932 ee40 72be chr 犾
cp932 ee41 7324 chr 猤
cp932 ee42 fa16 chr 猪
cp932 ee43 7377 chr 獷
cp932 ee44 73bd chr 玽
cp932 ee45 73c9 chr 珉
cp932 ee46 73d6 chr 珖
cp932 ee47 73e3 chr 珣
cp932 ee48 73d2 chr 珒
cp932 ee49 7407 chr 琇
cp932 ee4a 73f5 chr 珵
cp932 ee4b 7426 chr 琦
cp932 ee4c 742a chr 琪
cp932 ee4d 7429 chr 琩
cp932 ee4e 742e chr 琮
cp932 ee4f 7462 chr 瑢
cp932 ee50 7489 chr 璉
cp932 ee51 749f chr 璟
cp932 ee52 7501 chr 甁
cp932 ee53 756f chr 畯
cp932 ee54 7682 chr 皂
cp932 ee55 769c chr 皜
cp932 ee56 769e chr 皞
cp932 ee57 769b chr 皛
cp932 ee58 76a6 chr 皦
cp932 ee59 fa17 chr 益
cp932 ee5a 7746 chr 睆
cp932 ee5b 52af chr 劯
cp932 ee5c 7821 chr 砡
cp932 ee5d 784e chr 硎
cp932 ee5e 7864 chr 硤
cp932 ee5f 787a chr 硺
cp932 ee60 7930 chr 礰
cp932 ee61 fa18 chr 礼
cp932 ee62 fa19 chr 神
cp932 ee63 fa1a chr 祥
cp932 ee64 7994 chr 禔
cp932 ee65 fa1b chr 福
cp932 ee66 799b chr 禛
cp932 ee67 7ad1 chr 竑
cp932 ee68 7ae7 chr 竧
cp932 ee69 fa1c chr 靖
